risk_number,risk_name,round,criteria,actor_sector_category,actor_sector_name,vuln_resp_level,count,total,pct
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Accommodation,Minimally vulnerable,17,73,23.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Accommodation,Moderately vulnerable,22,73,30.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Accommodation,Not at all vulnerable,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Agriculture,Don't Know/Unsure,3,73,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Agriculture,Extremely vulnerable,5,73,6.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Agriculture,Highly vulnerable,7,73,9.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Agriculture,Minimally vulnerable,31,73,42.5
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Agriculture,Moderately vulnerable,25,73,34.2
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Agriculture,Not at all vulnerable,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Arts,Don't Know/Unsure,3,73,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Arts,Extremely vulnerable,12,73,16.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Arts,Highly vulnerable,30,73,41.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Arts,Minimally vulnerable,10,73,13.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Arts,Moderately vulnerable,18,73,24.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Education,Don't Know/Unsure,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Education,Extremely vulnerable,43,73,58.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Education,Highly vulnerable,21,73,28.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Education,Minimally vulnerable,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Education,Moderately vulnerable,7,73,9.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Finance,Extremely vulnerable,63,74,85.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Finance,Highly vulnerable,7,74,9.5
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Finance,Minimally vulnerable,2,74,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Finance,Moderately vulnerable,2,74,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Healthcare,Don't Know/Unsure,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Healthcare,Extremely vulnerable,59,73,80.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Healthcare,Highly vulnerable,9,73,12.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Healthcare,Minimally vulnerable,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Healthcare,Moderately vulnerable,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Information,Don't Know/Unsure,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Information,Extremely vulnerable,38,73,52.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Information,Highly vulnerable,29,73,39.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Information,Minimally vulnerable,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Information,Moderately vulnerable,3,73,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Management,Don't Know/Unsure,4,73,5.5
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Management,Extremely vulnerable,10,73,13.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Management,Highly vulnerable,36,73,49.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Management,Minimally vulnerable,2,73,2.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Management,Moderately vulnerable,21,73,28.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,National Security,Don't Know/Unsure,1,73,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,National Security,Extremely vulnerable,31,73,42.5
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,National Security,Highly vulnerable,24,73,32.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,National Security,Minimally vulnerable,5,73,6.8
